,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
127,"(21.5, 83.5)",25.879999999999995,18,31,35,8,18,1,31,10,20,15,33,10,34,24,12,4,10,10,22,26,31,4,2,18,7,31,19,29,7,27
128,"(21.5, 84.5)",26.15,15,30,30,8,15,3,34,10,19,12,26,16,40,25,10,5,10,11,23,19,31,5,2,16,5,33,23,23,16,32
129,"(21.5, 85.5)",26.54,17,30,29,6,16,9,36,10,8,9,27,15,42,23,11,10,12,12,31,24,21,4,7,18,2,30,19,21,12,34
130,"(21.5, 86.5)",25.848000000000003,10,26,26,7,17,12,27,15,6,11,30,13,38,28,14,9,22,14,23,21,17,4,6,21,2,27,26,23,18,35
131,"(21.5, 87.5)",25.238,6,20,16,6,18,15,24,14,8,11,27,10,30,28,13,13,28,19,24,23,16,7,8,23,4,26,31,27,20,33
132,"(21.5, 88.5)",24.74,5,13,18,6,20,13,24,14,8,10,25,9,30,27,15,16,27,20,23,22,20,9,11,23,2,26,29,26,21,30
133,"(22.5, 69.5)",26.76,21,24,10,4,24,9,30,26,6,17,26,7,27,22,17,9,7,19,14,12,31,10,14,34,4,15,12,30,27,38
134,"(22.5, 70.5)",26.9,21,24,12,4,26,8,29,27,5,16,23,7,30,22,17,9,8,19,13,12,30,11,14,34,4,15,12,29,27,38
135,"(22.5, 71.5)",27.64,20,20,9,5,26,7,30,18,7,17,21,9,36,18,17,10,9,19,14,22,32,14,13,34,6,18,12,26,24,33
136,"(22.5, 72.5)",28.120000000000005,18,18,7,5,20,6,31,23,10,14,22,22,39,19,16,10,9,18,14,20,37,15,12,31,8,16,12,26,21,30
137,"(22.5, 73.5)",27.53,15,19,7,5,19,4,31,14,8,18,22,24,42,20,17,12,8,18,11,21,30,14,10,27,8,17,15,29,30,30
138,"(22.5, 74.5)",26.629999999999995,10,19,16,5,18,6,32,11,7,22,21,23,38,19,17,13,11,14,13,29,24,16,10,27,8,19,14,27,30,28
139,"(22.5, 75.5)",26.120000000000005,9,28,24,6,18,8,25,9,8,20,19,24,42,20,23,15,11,18,14,24,24,14,5,23,11,17,9,25,28,28
140,"(22.5, 76.5)",25.65,9,24,28,8,20,10,27,11,10,23,18,17,46,17,24,14,11,15,16,21,25,8,7,23,14,17,11,22,24,22
141,"(22.5, 77.5)",25.048000000000002,13,23,28,7,18,12,27,10,10,22,19,17,48,20,21,13,10,15,16,20,24,9,6,20,11,18,14,28,23,26
142,"(22.5, 78.5)",24.568,12,20,30,7,17,13,26,9,11,21,22,12,48,22,23,10,9,13,18,24,22,11,9,17,12,22,12,28,22,26
143,"(22.5, 79.5)",24.938000000000002,14,23,27,8,16,11,27,10,14,19,23,9,40,25,18,9,10,12,18,24,25,10,9,19,14,23,14,29,21,27
144,"(22.5, 80.5)",25.22,19,23,27,6,12,5,26,10,11,13,26,11,40,27,16,10,11,14,20,24,21,10,11,19,14,26,14,29,18,33
145,"(22.5, 81.5)",24.81,17,25,23,6,17,3,25,10,8,15,27,13,39,26,18,11,14,12,20,25,23,7,3,20,7,30,14,30,20,34
146,"(22.5, 82.5)",24.848000000000003,20,25,26,3,17,2,24,10,9,14,33,19,37,27,17,5,12,12,18,26,25,4,3,21,9,28,17,31,19,35
147,"(22.5, 83.5)",24.54,21,26,34,7,16,1,25,10,16,11,33,18,37,24,14,4,10,10,22,26,26,4,2,19,7,26,16,30,14,38
148,"(22.5, 84.5)",24.93,20,27,28,5,15,1,28,12,12,12,31,19,40,27,14,5,10,10,28,22,24,3,3,18,7,26,20,29,14,35
149,"(22.5, 85.5)",24.467999999999996,18,27,27,7,15,5,26,12,12,11,40,18,42,26,10,8,12,11,28,22,20,4,5,21,2,26,18,26,14,35
