,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
67,"(17.5, 82.5)",36.84,26,25,19,26,16,3,12,9,14,17,10,15,17,22,6,18,19,14,28,8,36,4,17,29,25,26,13,31,18,28
68,"(17.5, 83.5)",36.34,26,18,10,26,20,3,13,10,13,16,10,15,19,22,7,16,19,14,30,9,37,3,18,26,30,23,12,31,20,33
69,"(18.5, 72.5)",34.99,10,6,22,11,8,4,22,11,16,8,20,12,6,39,13,13,18,31,27,31,33,11,22,13,34,53,8,9,19,22
70,"(18.5, 73.5)",35.97,11,10,18,14,8,4,13,10,21,7,20,8,3,30,15,21,22,28,25,39,33,12,24,15,38,52,7,9,21,13
71,"(18.5, 74.5)",38.17,12,14,11,19,4,5,17,20,24,5,15,13,4,34,21,25,20,25,22,31,34,17,19,17,36,46,5,4,19,12
72,"(18.5, 75.5)",40.65,15,11,10,15,11,10,20,26,30,14,13,21,10,36,22,20,21,15,37,21,20,18,9,8,28,43,8,11,20,11
73,"(18.5, 76.5)",41.35,18,15,7,19,13,7,15,22,26,17,12,27,12,30,21,16,20,22,33,15,17,17,8,10,25,46,7,17,21,14
74,"(18.5, 77.5)",41.3,16,20,8,23,17,7,21,23,26,21,11,31,13,27,17,16,17,21,32,7,17,12,7,9,21,45,7,21,25,11
75,"(18.5, 78.5)",41.41,19,22,5,24,16,8,22,19,24,23,12,32,14,28,19,11,17,21,35,6,16,7,3,9,21,45,9,23,27,12
76,"(18.5, 79.5)",41.91,21,21,5,25,19,7,18,19,22,24,14,34,16,26,16,9,12,17,36,6,18,6,8,15,22,44,10,27,24,11
77,"(18.5, 80.5)",40.72,26,23,7,25,24,5,13,23,19,20,14,22,20,23,8,10,13,15,34,6,27,3,17,20,25,41,12,31,19,6
78,"(18.5, 81.5)",38.54,30,21,12,24,20,5,14,17,17,19,11,15,18,21,4,14,19,14,33,9,33,3,16,26,31,38,7,28,18,15
79,"(18.5, 82.5)",37.92,28,19,7,25,19,4,16,11,11,11,9,16,18,22,5,17,19,14,32,8,34,5,19,26,40,33,8,30,17,26
80,"(18.5, 83.5)",37.27,24,16,7,24,20,4,20,11,14,11,9,11,17,23,4,15,17,15,35,8,38,4,17,26,41,27,8,32,22,31
81,"(18.5, 84.5)",37.29,19,8,15,20,9,0,18,6,8,17,3,13,19,23,15,9,16,17,37,12,38,4,13,23,46,36,7,32,23,44
82,"(19.5, 72.5)",36.62,14,16,29,17,11,3,18,9,15,12,19,7,5,40,18,13,13,25,22,23,25,8,21,11,37,59,12,8,19,25
83,"(19.5, 73.5)",36.95,19,19,19,17,11,4,11,13,19,9,20,11,5,37,14,14,17,23,21,24,35,10,23,20,34,51,9,7,18,22
84,"(19.5, 74.5)",39.68,17,17,13,19,10,6,13,19,27,7,12,8,5,33,16,21,17,18,23,22,33,13,23,19,34,49,10,5,22,20
85,"(19.5, 75.5)",41.0,18,14,11,17,14,6,13,27,28,15,10,17,11,33,20,20,16,15,27,18,27,16,15,16,29,44,10,9,20,16
86,"(19.5, 76.5)",41.59199999999999,23,16,11,20,13,4,17,21,26,18,11,26,13,25,20,13,18,21,29,10,17,18,10,12,26,48,9,14,21,18
87,"(19.5, 77.5)",42.59,24,16,10,21,15,2,25,20,27,17,12,32,15,24,21,14,17,22,31,8,16,9,8,9,24,46,7,17,23,17
88,"(19.5, 78.5)",42.93,21,17,8,24,15,5,21,23,25,19,12,34,12,23,18,12,16,22,34,8,18,9,8,9,24,45,9,20,25,16
89,"(19.5, 79.5)",43.0,18,20,4,25,20,6,21,23,24,22,13,36,13,25,16,10,15,19,36,6,21,9,4,9,26,43,8,25,22,12
90,"(19.5, 80.5)",41.38,21,21,6,24,20,8,21,28,21,24,13,30,17,22,20,11,15,21,37,3,24,7,1,18,22,43,5,21,20,8
91,"(19.5, 81.5)",41.22,23,16,6,24,23,8,20,16,21,23,10,15,14,20,26,13,16,14,35,9,25,6,14,23,29,39,4,28,21,8
92,"(19.5, 82.5)",38.67199999999999,26,13,6,24,21,8,21,10,16,13,9,12,19,21,6,15,20,17,37,10,33,4,15,27,39,38,2,27,19,20
93,"(19.5, 83.5)",38.54,20,12,8,19,15,3,19,8,11,15,5,13,21,22,21,16,22,18,35,9,38,3,17,23,42,31,5,30,22,29
94,"(19.5, 84.5)",38.48,17,7,13,19,9,0,19,4,5,17,7,15,20,22,22,13,21,18,36,11,35,5,11,22,44,41,7,31,24,36
95,"(19.5, 85.5)",36.81,12,8,20,14,15,2,18,6,7,21,10,13,18,23,19,7,13,22,28,14,38,6,12,20,40,45,4,33,26,40
96,"(20.5, 70.5)",36.96,10,17,27,15,12,4,19,3,12,11,25,13,6,40,14,18,16,37,14,21,18,5,16,18,30,61,17,6,12,32
97,"(20.5, 71.5)",37.08,10,15,31,15,12,5,17,12,10,12,22,14,6,39,14,19,16,38,15,23,14,8,16,11,29,62,15,5,14,30
98,"(20.5, 72.5)",36.97,10,16,30,27,13,3,16,16,12,14,23,9,7,39,13,13,14,28,23,22,17,5,21,10,26,60,9,4,15,34
