,District Name,District Centroid Lat.,District Centroid Lng.,Grid Centroid Lat.,Grid Centroid Lng.
509,Tamil NaduChennai,13.057944154145007,80.28128800080701,13.5,80.5
510,Tamil NaduCoimbatore,10.887415380928793,76.94417862569655,10.5,76.5
511,Tamil NaduCuddalore,11.575388611301982,79.62989427476475,11.5,79.5
512,Tamil NaduDharmapuri,12.094823296181826,78.2087689070909,12.5,78.5
513,Tamil NaduDindigul,10.3766704674409,77.77946559184991,10.5,77.5
514,Tamil NaduErode,11.483983042822581,77.34758402927417,11.5,77.5
515,Tamil NaduKancheepuram,12.496218479556044,80.08817271905345,12.5,80.5
516,Tamil NaduKanniyakumari,8.183333012915865,77.32045303836043,8.5,77.5
517,Tamil NaduKarur,10.794219023131513,78.08780400979121,10.5,78.5
518,Tamil NaduKrishnagiri,12.474236020546531,78.04253683853763,12.5,78.5
519,Tamil NaduMadurai,9.903071147999997,78.01215484618334,9.5,78.5
520,Tamil NaduNagappattinam,10.78914058531584,79.79435973851218,10.5,79.5
521,Tamil NaduNamakkal,11.336436152621557,78.1456456414165,11.5,78.5
522,Tamil NaduPerambalur,11.258809829351035,78.86072864353984,11.5,78.5
523,Tamil NaduPudukkottai,10.1303843309397,79.05434480749142,10.5,79.5
524,Tamil NaduRamanathapuram,9.31285579784169,78.99185898245086,9.5,78.5
525,Tamil NaduSalem,11.629173281316472,78.24834464458773,11.5,78.5
526,Tamil NaduSivaganga,9.959282817303222,78.5652615750193,9.5,78.5
527,Tamil NaduThanjavur,10.38760395047976,79.31937975188555,10.5,79.5
528,Tamil NaduThe Nilgiris,11.440911128242822,76.66201423926518,11.5,76.5
529,Tamil NaduTheni,9.92384022299999,77.43374577485716,9.5,77.5
530,Tamil NaduThiruvallur,13.368320108553323,80.2253128140513,13.5,80.5
531,Tamil NaduThiruvarur,10.368743990794705,79.60318226233542,10.5,79.5
532,Tamil NaduThoothukkudi,8.720795496145772,78.13829717156449,8.5,78.5
533,Tamil NaduTiruchirappalli,10.836671699826466,78.54714765558566,10.5,78.5
534,Tamil NaduTirunelveli,8.457337114062346,77.70531271908835,8.5,77.5
535,Tamil NaduTiruppur,10.830917010467543,77.33852767957138,10.5,77.5
536,Tamil NaduTiruvannamalai,12.41814228996052,79.2316391995,12.5,79.5
537,Tamil NaduVellore,12.783620740054259,79.02505279924023,12.5,79.5
538,Tamil NaduViluppuram,12.06533219131999,79.68960039694328,12.5,79.5
539,Tamil NaduVirudunagar,9.468037966872037,77.87597164518168,9.5,77.5
540,TelanganaAdilabad,19.282965630851677,78.81550070464024,19.5,78.5
541,TelanganaHyderabad,17.38971171955556,78.46669226733333,17.5,78.5
542,TelanganaKarimnagar,18.513783636184883,79.43769809505872,18.5,79.5
543,TelanganaKhammam,17.682200303623205,80.66962927280545,17.5,80.5
544,TelanganaMahbubnagar,16.63856437828373,77.99096059893596,16.5,77.5
545,TelanganaMedak,17.888201600614924,78.13775957597367,17.5,78.5
546,TelanganaNalgonda,17.11145056498968,79.1694567965155,17.5,79.5
547,TelanganaNizamabad,18.427796453844326,78.07591141412746,18.5,78.5
548,TelanganaRanga Reddy,17.253664367548883,78.08190306215126,17.5,78.5
549,TelanganaWarangal,18.015668963144925,79.87335638523193,18.5,79.5
550,TripuraDhalai,24.000384323099873,91.89223513493292,24.5,91.5
551,TripuraGomati,23.259413297308317,91.77435938457923,23.5,91.5
552,TripuraKhowai,24.120537265219824,91.6575344672142,24.5,91.5
553,TripuraNorth Tripura,24.239540622140094,92.18897419359588,24.5,92.5
554,TripuraSipahijala,23.54080944403048,91.24650683562231,23.5,91.5
555,TripuraSouth Tripura,23.10389315255245,91.56528081046649,23.5,91.5
556,TripuraUnokoti,24.30946230937925,91.9720164055983,24.5,91.5
557,TripuraWest Tripura,23.97836436886836,91.34459555949469,23.5,91.5
558,Uttar PradeshAgra,26.99462271240138,78.05315250590203,26.5,78.5
559,Uttar PradeshAligarh,27.936889716862023,78.0017136283554,27.5,78.5
560,Uttar PradeshAllahabad,25.39158240972267,82.05198823147634,25.5,82.5
561,Uttar PradeshAmbedkar Nagar,26.390434380454533,82.68302577307367,26.5,82.5
562,Uttar PradeshAmethi,26.28509424754913,81.64412804207078,26.5,81.5
563,Uttar PradeshAmroha,28.868542734187805,78.38918000441627,28.5,78.5
564,Uttar PradeshAuraiya,26.667510620024938,79.42664928855359,26.5,79.5
565,Uttar PradeshAzamgarh,26.00793842569097,83.01185420998738,26.5,83.5
566,Uttar PradeshBaghpat,29.045638074899983,77.30093471539998,29.5,77.5
567,Uttar PradeshBahraich,27.684286332829895,81.468420593739,27.5,81.5
568,Uttar PradeshBallia,25.85978222682978,84.03766786291494,25.5,84.5
569,Uttar PradeshBalrampur,27.443336626427506,82.46854066606156,27.5,82.5
570,Uttar PradeshBanda,25.35082469279314,80.52481497249006,25.5,80.5
571,Uttar PradeshBarabanki,26.921767958047827,81.35771807385125,26.5,81.5
572,Uttar PradeshBareilly,28.50856104360651,79.43226988760652,28.5,79.5
573,Uttar PradeshBasti,26.833661681704548,82.69840283845457,26.5,82.5
574,Uttar PradeshBijnor,29.312617708405458,78.45160779334856,29.5,78.5
575,Uttar PradeshBudaun,28.04650248260078,79.07694233610886,28.5,79.5
576,Uttar PradeshBulandshahr,28.347881377500027,78.01172550247132,28.5,78.5
577,Uttar PradeshChandauli,25.116476252375772,83.25344342764573,25.5,83.5
578,Uttar PradeshChitrakoot,25.159072351491123,81.07674080224344,25.5,81.5
579,Uttar PradeshDeoria,26.421034093264044,83.82431756740118,26.5,83.5
580,Uttar PradeshEtah,27.50420173802068,78.6675379848021,27.5,78.5
581,Uttar PradeshEtawah,26.78807200672776,79.07656878290578,26.5,79.5
582,Uttar PradeshFaizabad,26.604892749679017,82.00861769333328,26.5,82.5
583,Uttar PradeshFarrukhabad,27.44970041389922,79.44129399482757,27.5,79.5
584,Uttar PradeshFatehpur,25.836519342450334,80.85585357092704,25.5,80.5
585,Uttar PradeshFirozabad,27.208703819461803,78.42692221555563,27.5,78.5
586,Uttar PradeshGautam Buddha Nagar,28.391613849090934,77.52508611805185,28.5,77.5
587,Uttar PradeshGhaziabad,28.768170987217392,77.4466130797826,28.5,77.5
588,Uttar PradeshGhazipur,25.623848721490127,83.5362372817595,25.5,83.5
589,Uttar PradeshGonda,27.156619147542763,82.02196497944009,27.5,82.5
590,Uttar PradeshGorakhpur,26.632047332905678,83.3547570569811,26.5,83.5
591,Uttar PradeshHamirpur,25.737200295736965,79.82640414177749,25.5,79.5
592,Uttar PradeshHapur,28.717519760296295,77.84294699214814,28.5,77.5
593,Uttar PradeshHardoi,27.336545640820685,80.2650457729924,27.5,80.5
594,Uttar PradeshHathras,27.576752143062333,78.18111576815714,27.5,78.5
595,Uttar PradeshJalaun,26.06697458431194,79.36701855666666,26.5,79.5
596,Uttar PradeshJaunpur,25.70091317107165,82.54319613681028,25.5,82.5
597,Uttar PradeshJhansi,25.455288415,78.89982734900158,25.5,78.5
598,Uttar PradeshKannauj,26.99328711490513,79.64594731940377,26.5,79.5
599,Uttar PradeshKanpur Dehat,26.455868430571467,79.86766297469046,26.5,79.5
600,Uttar PradeshKanpur Nagar,26.423748545792947,80.14893947715849,26.5,80.5
601,Uttar PradeshKasganj,27.767767056151733,78.83316860864494,27.5,78.5
602,Uttar PradeshKaushambi,25.53474849910256,81.41764073490384,25.5,81.5
603,Uttar PradeshKushinagar,26.891254001958384,83.9229240748007,26.5,83.5
604,Uttar PradeshLakhimpur Kheri,28.078984036919,80.64532260050107,28.5,80.5
605,Uttar PradeshLalitpur,24.587330005805097,78.60163478536019,24.5,78.5
606,Uttar PradeshLucknow,26.83704745610362,80.89717052272552,26.5,80.5
607,Uttar PradeshMaharajganj,27.170339812651925,83.46358008051565,27.5,83.5
608,Uttar PradeshMahoba,25.344821803888927,79.67737404527786,25.5,79.5
609,Uttar PradeshMainpuri,27.172756901128665,79.03475976246051,27.5,79.5
610,Uttar PradeshMathura,27.59236748915715,77.62144770902037,27.5,77.5
611,Uttar PradeshMau,26.009784607796185,83.50529263000006,26.5,83.5
612,Uttar PradeshMeerut,29.028633965027968,77.80440214368717,29.5,77.5
613,Uttar PradeshMirzapur,25.1015888992163,82.60146217186124,25.5,82.5
614,Uttar PradeshMoradabad,28.910438779088878,78.79329793300003,28.5,78.5
615,Uttar PradeshMuzaffarnagar,29.440931137342044,77.74546695954248,29.5,77.5
616,Uttar PradeshPilibhit,28.518762558340526,79.89903194314573,28.5,79.5
617,Uttar PradeshPratapgarh,25.86451940013658,81.93499107546324,25.5,81.5
618,Uttar PradeshRae Bareli,26.26095530946044,81.11726439789571,26.5,81.5
619,Uttar PradeshRampur,28.831070293151523,79.10951274545455,28.5,79.5
620,Uttar PradeshSaharanpur,30.03246759845218,77.59886348553036,30.5,77.5
621,Uttar PradeshSambhal,28.492293499505486,78.57522679417586,28.5,78.5
